Area_sqft,Bedrooms,Bathrooms,Age_years,Locality,Parking_spaces,Furnished_status,Metro_nearby,Floor,Total_floors,Price_lakhs
1287,3,3,5.1,Rohini,2,Unfurnished,0,2,15,93.45
1313,1,1,0.8,Rohini,2,Unfurnished,1,2,11,138.83
1473,2,2,8.4,Paschim Vihar,0,Unfurnished,1,11,17,77.13
1347,3,2,0.2,Dwarka,0,Unfurnished,0,1,12,101.6
1678,3,3,13.1,Khan Market,0,Furnished,1,8,10,395.91
1487,4,3,12.9,Pitampura,0,Furnished,1,13,14,98.96
1245,3,3,23.3,Defence Colony,0,Furnished,0,8,19,160.8
1135,1,1,18.6,Vikaspuri,0,Unfurnished,1,15,19,41.09
400,4,4,2.7,Vikaspuri,0,Unfurnished,1,3,5,30.41
1733,2,2,36.0,Karol Bagh,0,Unfurnished,0,1,1,53.74
1187,3,3,43.4,Vikaspuri,1,Unfurnished,1,2,4,12.73
1682,2,1,8.0,Defence Colony,1,Unfurnished,1,3,3,342.18
1200,3,3,1.7,Ghaziabad,1,Furnished,0,2,2,52.66
2222,3,2,0.5,Lajpat Nagar,2,Semi-Furnished,0,1,1,323.98
1352,3,3,4.1,Ghaziabad,1,Semi-Furnished,1,11,16,53.7
920,4,4,10.5,Mayur Vihar,0,Furnished,1,2,4,62.64
1451,3,3,3.7,Rajouri Garden,0,Unfurnished,1,19,20,160.4
1200,2,1,22.6,Janakpuri,0,Furnished,1,5,6,54.34
1997,1,1,22.6,Preet Vihar,2,Unfurnished,1,2,11,50.07
527,2,2,1.4,Preet Vihar,1,Semi-Furnished,0,1,1,23.88
892,2,2,2.8,Ghaziabad,0,Semi-Furnished,1,4,6,31.75
1263,4,4,7.6,Lajpat Nagar,2,Furnished,1,14,16,255.65
1611,4,4,2.9,Lajpat Nagar,1,Unfurnished,1,2,4,239.66
1374,3,3,8.9,Connaught Place,0,Furnished,1,5,5,264.71
427,3,2,1.0,Shahdara,1,Furnished,0,1,2,26.11
1030,3,2,2.5,Khan Market,1,Semi-Furnished,1,9,12,288.9
1079,2,2,1.4,Dilshad Garden,1,Semi-Furnished,0,1,1,43.41
1760,3,3,8.8,Paschim Vihar,1,Unfurnished,0,13,14,92.18
985,2,2,5.3,Karol Bagh,0,Unfurnished,1,1,1,107.89
1219,3,3,1.8,Vikaspuri,2,Unfurnished,0,1,1,80.43
1270,3,2,23.3,Vikaspuri,1,Semi-Furnished,1,14,20,51.66
545,2,2,9.2,Rohini,0,Furnished,0,3,3,42.1
755,3,3,0.2,Connaught Place,0,Furnished,0,6,20,246.36
834,2,2,0.8,Shahdara,1,Semi-Furnished,1,7,8,49.92
1071,3,3,14.9,Lajpat Nagar,0,Furnished,1,1,2,154.56
1746,3,2,1.7,Pitampura,1,Semi-Furnished,1,11,16,191.42
980,3,3,6.7,Mayur Vihar,1,Furnished,1,1,1,77.17
1403,3,2,4.2,South Extension,1,Semi-Furnished,1,6,7,290.91
1129,2,2,1.8,Janakpuri,0,Unfurnished,1,3,3,86.94
1332,2,2,6.7,Karol Bagh,1,Semi-Furnished,0,1,3,164.8
1265,2,2,4.3,Rohini,0,Semi-Furnished,0,8,11,97.48
1282,1,1,10.0,Ghaziabad,1,Semi-Furnished,1,1,1,33.57
1574,3,3,4.5,Mayur Vihar,0,Unfurnished,0,1,1,75.89
1407,2,2,7.2,South Extension,1,Unfurnished,0,1,1,164.56
604,2,2,13.4,Paschim Vihar,1,Furnished,0,1,4,30.41
1157,3,3,9.1,Janakpuri,0,Semi-Furnished,0,1,1,81.9
637,1,1,0.0,Vasant Vihar,0,Furnished,1,10,13,136.55
2005,4,4,13.0,Vikaspuri,1,Furnished,0,1,1,132.53
1039,2,2,4.5,Dwarka,1,Unfurnished,0,1,1,82.18
1614,2,1,5.9,Mayur Vihar,2,Furnished,1,3,4,88.93
1064,5,5,3.3,Mayur Vihar,1,Unfurnished,0,4,4,64.93
2368,4,4,12.3,Greater Kailash,0,Semi-Furnished,1,9,13,410.38
1261,2,2,2.9,Defence Colony,0,Unfurnished,1,1,1,235.9
762,4,4,2.7,Lajpat Nagar,0,Semi-Furnished,1,4,13,140.02
1790,2,2,25.6,Mayur Vihar,2,Unfurnished,0,1,17,49.55
1441,3,3,4.9,Vasant Vihar,2,Furnished,1,6,6,287.26
1687,2,2,10.3,Shahdara,1,Furnished,0,15,20,79.88
1046,3,3,15.9,Khan Market,1,Unfurnished,0,1,1,163.83
1370,2,2,3.4,Khan Market,0,Semi-Furnished,0,1,1,270.81
932,2,2,4.8,Ghaziabad,1,Furnished,0,10,16,32.05
863,2,1,21.4,Lajpat Nagar,1,Semi-Furnished,1,4,7,83.58
881,4,3,6.5,Khan Market,0,Unfurnished,0,1,14,206.56
1505,2,2,0.6,Connaught Place,1,Unfurnished,0,16,20,301.1
1505,2,2,0.7,Janakpuri,1,Semi-Furnished,1,18,18,117.16
1115,5,5,34.7,Karol Bagh,0,Furnished,1,2,6,69.57
1315,2,1,4.1,Dilshad Garden,0,Unfurnished,1,1,1,47.14
1246,2,2,0.5,Defence Colony,1,Semi-Furnished,1,3,16,267.25
911,5,4,2.8,Preet Vihar,1,Semi-Furnished,1,3,18,63.46
844,1,1,1.7,Ghaziabad,2,Unfurnished,0,5,8,25.95
1119,4,3,5.7,Connaught Place,2,Semi-Furnished,0,7,16,306.1
944,2,2,4.0,Vikaspuri,1,Semi-Furnished,1,1,1,63.07
1702,3,3,8.7,Paschim Vihar,1,Unfurnished,0,2,6,80.36
928,5,5,9.6,Vasant Vihar,0,Furnished,0,16,20,157.87
932,3,2,1.3,Rajouri Garden,1,Semi-Furnished,1,11,13,142.99
1119,2,2,3.5,Lajpat Nagar,2,Semi-Furnished,1,1,2,164.52
954,2,2,7.3,Rajouri Garden,1,Furnished,1,1,1,105.19
400,2,2,4.3,Connaught Place,2,Semi-Furnished,0,1,1,71.6
1286,2,2,2.1,Khan Market,1,Unfurnished,1,1,5,245.39
1465,3,3,6.5,Janakpuri,2,Semi-Furnished,0,1,11,96.4
1730,2,2,10.7,Paschim Vihar,2,Unfurnished,0,5,8,77.0
1981,2,2,14.1,Defence Colony,1,Furnished,1,1,15,347.5
1649,3,3,34.0,Greater Kailash,2,Semi-Furnished,1,13,16,123.4
1057,1,1,3.9,Karol Bagh,1,Unfurnished,1,1,1,135.31
1319,2,2,11.0,Janakpuri,1,Unfurnished,1,2,6,90.4
846,4,4,9.8,Khan Market,1,Semi-Furnished,1,1,1,149.95
1188,2,2,1.2,Khan Market,0,Semi-Furnished,1,2,14,264.8
1099,2,2,5.8,Janakpuri,2,Unfurnished,0,14,16,79.85
791,3,3,1.9,Rohini,0,Unfurnished,1,3,3,69.72
1406,3,3,1.8,Preet Vihar,1,Semi-Furnished,1,10,13,82.14
907,5,5,21.3,Pitampura,0,Semi-Furnished,1,1,1,70.52
1432,3,2,1.5,Khan Market,1,Semi-Furnished,1,2,14,384.12
1346,2,2,5.3,Pitampura,1,Semi-Furnished,0,5,9,95.61
991,1,1,8.6,Shahdara,0,Semi-Furnished,0,7,19,37.26
1604,4,4,3.0,Dwarka,2,Unfurnished,1,8,14,172.31
1673,2,1,2.6,Lajpat Nagar,1,Semi-Furnished,0,1,1,193.23
1005,2,2,11.7,Dwarka,1,Unfurnished,0,1,1,72.15
1168,4,4,4.4,Khan Market,1,Furnished,0,8,12,289.11
1557,2,2,40.0,Khan Market,2,Furnished,1,4,13,95.05
1383,2,2,2.5,Mayur Vihar,1,Furnished,0,1,8,82.04
706,1,1,2.0,Karol Bagh,1,Semi-Furnished,0,1,1,78.83
1158,3,2,9.2,Pitampura,0,Semi-Furnished,1,5,6,95.0
651,3,3,3.0,Paschim Vihar,0,Furnished,1,4,13,51.22
1135,2,2,0.3,Mayur Vihar,0,Semi-Furnished,1,1,1,79.53
1145,5,5,13.2,Dwarka,0,Semi-Furnished,1,9,18,118.58
1544,2,2,1.1,Vikaspuri,0,Semi-Furnished,1,11,16,117.71
1155,2,2,11.6,Dilshad Garden,0,Furnished,1,1,1,45.03
600,2,2,8.2,Karol Bagh,1,Semi-Furnished,0,9,12,58.79
1120,4,4,3.2,Rajouri Garden,1,Semi-Furnished,0,2,2,138.86
1103,2,2,4.1,Defence Colony,1,Semi-Furnished,0,4,5,170.76
906,3,2,9.4,Paschim Vihar,1,Furnished,1,8,9,71.2
400,3,3,4.7,Mayur Vihar,1,Unfurnished,1,6,13,22.03
820,1,1,16.6,Ghaziabad,0,Furnished,1,2,3,20.42
1377,3,2,5.8,Ghaziabad,1,Semi-Furnished,0,1,1,50.3
1384,2,2,5.3,Janakpuri,0,Semi-Furnished,0,3,5,88.23
774,5,5,11.6,Preet Vihar,0,Furnished,0,5,8,41.14
1171,2,2,0.9,Connaught Place,1,Furnished,1,3,3,375.03
1639,4,4,5.7,Ghaziabad,1,Furnished,0,7,8,52.94
806,3,3,0.5,Defence Colony,0,Unfurnished,1,7,9,164.93
1167,3,3,2.4,Preet Vihar,2,Unfurnished,1,7,19,77.53
1982,4,4,0.2,Khan Market,1,Semi-Furnished,1,7,20,673.63
400,2,2,15.4,Pitampura,2,Unfurnished,0,1,1,23.8
987,3,2,15.3,Rohini,0,Unfurnished,0,7,7,55.27
1175,3,3,3.3,Ghaziabad,0,Unfurnished,1,3,3,40.29
1010,3,3,0.7,Shahdara,1,Furnished,0,7,7,53.37
866,1,1,4.0,Rajouri Garden,0,Furnished,1,2,2,110.45
1552,2,2,1.4,Vikaspuri,1,Unfurnished,1,1,1,114.73
1147,2,2,5.4,Vasant Vihar,1,Unfurnished,1,2,9,166.84
2037,5,5,9.1,Dilshad Garden,1,Unfurnished,1,1,1,76.77
1804,2,2,0.2,Shahdara,1,Unfurnished,1,3,13,98.46
1683,3,2,2.7,Preet Vihar,0,Furnished,1,1,1,90.66
743,4,4,4.3,Greater Kailash,0,Unfurnished,0,1,3,133.42
1398,4,4,9.3,Karol Bagh,0,Semi-Furnished,1,2,15,178.91
1688,3,3,13.4,Defence Colony,2,Furnished,1,13,17,333.34
1473,3,3,1.4,Karol Bagh,1,Semi-Furnished,0,2,3,171.25
1576,3,3,5.9,Karol Bagh,0,Semi-Furnished,0,2,19,173.46
1100,2,2,16.2,Vikaspuri,1,Furnished,1,1,1,53.88
1614,3,3,4.9,Paschim Vihar,0,Furnished,0,10,17,108.88
1012,5,5,0.9,South Extension,0,Furnished,1,3,8,202.19
1147,2,2,8.2,Janakpuri,0,Unfurnished,0,2,3,68.58
1668,5,5,5.7,Dilshad Garden,1,Unfurnished,1,4,5,77.04
1783,3,3,50.0,Rohini,1,Furnished,1,4,20,1.0
1395,3,2,8.4,Lajpat Nagar,1,Furnished,1,2,2,242.04
1416,3,2,4.5,South Extension,2,Semi-Furnished,0,1,9,241.15
1456,5,5,13.6,Janakpuri,1,Unfurnished,0,3,5,89.56
1372,5,5,5.4,Khan Market,1,Furnished,0,6,7,336.23
1128,3,3,3.3,Karol Bagh,2,Furnished,1,1,1,197.28
1115,2,2,0.8,Dwarka,1,Unfurnished,0,1,1,108.25
1250,4,3,0.4,South Extension,0,Furnished,1,3,3,258.17
1499,3,3,9.0,Lajpat Nagar,1,Unfurnished,1,1,4,219.93
741,2,2,6.9,South Extension,1,Unfurnished,1,6,16,113.65
1455,2,2,3.0,Connaught Place,0,Furnished,0,7,15,367.26
986,3,3,1.9,Dwarka,1,Semi-Furnished,1,1,1,107.2
705,2,2,7.2,Paschim Vihar,1,Furnished,1,1,1,50.43
1137,2,2,1.8,Mayur Vihar,1,Furnished,0,18,20,76.13
806,3,3,0.6,Greater Kailash,0,Unfurnished,1,16,16,172.98
647,3,3,6.3,Greater Kailash,2,Furnished,0,6,12,107.71
913,1,1,0.9,Preet Vihar,2,Semi-Furnished,1,5,20,48.93
1978,2,1,17.4,Khan Market,0,Furnished,1,4,6,336.0
596,1,1,0.8,Dwarka,2,Furnished,0,4,11,60.4
1149,4,4,10.2,Paschim Vihar,1,Furnished,1,2,4,81.48
1311,2,2,4.2,Dwarka,0,Unfurnished,1,2,3,112.6
1139,3,3,0.7,Khan Market,1,Unfurnished,1,1,20,247.83
961,2,2,3.8,Rajouri Garden,1,Furnished,1,5,6,117.47
1362,3,3,2.2,Janakpuri,2,Semi-Furnished,1,11,14,119.97
1719,3,2,7.0,Defence Colony,2,Semi-Furnished,1,3,7,380.17
1551,4,4,2.3,Khan Market,1,Unfurnished,0,1,1,339.58
1062,2,2,3.1,Karol Bagh,2,Furnished,0,3,14,151.98
1777,2,1,0.2,Dilshad Garden,1,Unfurnished,1,3,14,74.5
1055,5,5,1.6,Karol Bagh,0,Semi-Furnished,1,6,6,181.16
939,3,2,19.4,Janakpuri,2,Semi-Furnished,1,1,10,54.59
1518,1,1,2.3,Vikaspuri,1,Furnished,1,6,12,134.95
1159,2,2,4.9,Dwarka,1,Unfurnished,0,5,6,98.8
1082,1,1,3.6,Preet Vihar,1,Semi-Furnished,0,3,20,44.27
1529,3,3,7.6,Shahdara,0,Semi-Furnished,0,3,6,59.79
1261,4,4,8.1,Paschim Vihar,1,Unfurnished,0,2,18,66.51
1091,5,5,10.8,Mayur Vihar,0,Semi-Furnished,0,5,5,62.37
1041,4,4,11.8,Greater Kailash,0,Semi-Furnished,1,3,5,221.51
1396,2,2,15.2,Rajouri Garden,2,Unfurnished,1,1,6,118.29
928,5,5,5.6,Khan Market,1,Unfurnished,0,10,11,172.44
1210,3,3,0.6,Shahdara,0,Furnished,0,3,4,63.32
782,4,4,1.4,Dilshad Garden,1,Furnished,1,1,3,48.45
1408,5,5,4.9,Connaught Place,0,Semi-Furnished,1,1,1,442.93
1642,4,3,0.8,Mayur Vihar,2,Unfurnished,1,1,1,111.58
601,3,3,8.2,Mayur Vihar,1,Furnished,0,5,17,37.93
1120,2,2,11.4,Vikaspuri,1,Unfurnished,0,3,8,49.87
1220,2,2,5.4,Janakpuri,2,Unfurnished,0,9,10,82.29
1159,3,3,12.6,Vasant Vihar,1,Semi-Furnished,1,11,15,150.83
846,3,3,0.3,Mayur Vihar,2,Unfurnished,0,1,4,45.62
1160,2,2,4.9,Ghaziabad,1,Unfurnished,1,2,2,39.34
930,3,3,10.8,Paschim Vihar,1,Furnished,1,1,1,68.87
1088,2,2,2.5,Vikaspuri,1,Unfurnished,0,18,19,71.89
400,1,1,6.0,Defence Colony,1,Furnished,1,7,11,82.19
1287,3,3,17.0,Rohini,0,Unfurnished,0,2,6,61.77
400,5,5,1.0,Shahdara,0,Semi-Furnished,1,3,12,32.8
1408,2,2,5.6,Rohini,0,Semi-Furnished,1,1,1,111.2
1090,2,2,3.7,Greater Kailash,0,Semi-Furnished,0,5,10,195.19
986,4,4,6.0,Defence Colony,2,Semi-Furnished,0,13,14,219.45
1074,5,4,13.0,Vikaspuri,1,Unfurnished,0,1,1,61.12
1191,5,4,8.1,Connaught Place,2,Unfurnished,1,7,11,336.85
1500,3,2,23.6,Shahdara,1,Furnished,1,8,18,52.27
1080,3,3,0.1,Vasant Vihar,1,Semi-Furnished,0,4,5,191.98
1219,3,2,5.6,Paschim Vihar,1,Furnished,1,3,12,72.87
1842,2,2,10.5,Rajouri Garden,1,Semi-Furnished,0,4,16,147.34
1248,4,4,3.2,Dwarka,1,Semi-Furnished,1,1,12,132.0
1171,3,2,5.0,Mayur Vihar,1,Furnished,0,1,4,76.21
1268,3,3,14.4,Pitampura,1,Unfurnished,0,12,17,78.67
1754,3,2,3.9,Karol Bagh,0,Unfurnished,1,1,1,221.84
1625,5,5,39.3,Shahdara,2,Unfurnished,0,14,14,18.03
1219,2,2,5.6,Karol Bagh,1,Semi-Furnished,1,14,18,155.62
721,2,2,10.3,Vasant Vihar,0,Semi-Furnished,1,9,10,115.91
562,3,3,9.2,Dwarka,0,Unfurnished,1,7,9,38.98
857,2,2,11.5,Pitampura,0,Semi-Furnished,1,4,16,60.28
1280,3,3,2.5,Lajpat Nagar,1,Unfurnished,1,16,19,198.05
1435,4,4,1.9,Pitampura,0,Semi-Furnished,1,8,10,148.71
1715,3,3,21.9,Mayur Vihar,1,Semi-Furnished,1,5,10,67.93
1486,1,1,4.9,South Extension,1,Furnished,0,6,16,270.0
1132,3,3,37.4,Mayur Vihar,1,Furnished,1,17,19,20.18
1764,3,3,8.6,Karol Bagh,1,Semi-Furnished,1,1,1,231.99
1576,2,1,4.4,Pitampura,1,Semi-Furnished,1,3,3,132.03
1043,3,2,10.5,Mayur Vihar,1,Unfurnished,1,11,14,48.19
1175,1,1,8.8,Rajouri Garden,2,Furnished,1,8,14,109.94
1583,5,5,0.5,Pitampura,2,Furnished,1,2,4,263.66
944,3,3,9.2,Preet Vihar,0,Semi-Furnished,1,2,3,48.15
1042,2,2,10.4,Dwarka,1,Furnished,1,4,12,112.48
788,3,2,7.2,Shahdara,1,Semi-Furnished,1,1,1,40.97
1177,4,3,2.6,Janakpuri,0,Semi-Furnished,0,5,20,79.5
1117,2,2,26.4,Lajpat Nagar,0,Semi-Furnished,0,1,1,76.08
1435,4,4,9.2,Lajpat Nagar,0,Furnished,0,1,1,209.92
1346,3,3,6.2,Khan Market,0,Unfurnished,1,1,1,310.36
1614,3,3,20.9,Lajpat Nagar,2,Furnished,1,1,1,178.07
1534,5,5,3.3,Lajpat Nagar,2,Semi-Furnished,1,2,2,342.77
428,3,3,0.1,Shahdara,0,Unfurnished,1,1,1,20.84
1452,3,3,4.1,Vasant Vihar,0,Furnished,0,7,12,255.38
1822,1,1,17.0,Vikaspuri,1,Furnished,0,3,5,66.6
1052,3,3,5.1,Connaught Place,0,Unfurnished,0,1,1,219.65
1564,3,3,19.2,Pitampura,0,Furnished,1,9,9,117.19
400,2,2,18.4,Pitampura,1,Furnished,1,2,2,31.82
1342,3,3,4.4,Karol Bagh,1,Unfurnished,1,2,8,197.38
1053,2,2,4.6,Greater Kailash,0,Semi-Furnished,1,8,12,203.43
2093,2,2,9.1,Paschim Vihar,1,Semi-Furnished,1,3,3,112.03
1559,2,2,4.5,Paschim Vihar,2,Unfurnished,0,2,2,76.28
725,1,1,6.6,Connaught Place,2,Unfurnished,1,4,4,154.42
1676,2,1,3.4,Vikaspuri,2,Unfurnished,1,8,10,111.08
1628,1,1,16.7,Rohini,2,Unfurnished,1,1,1,98.76
612,3,2,12.5,Vikaspuri,1,Unfurnished,0,2,8,26.0
713,4,4,6.8,Lajpat Nagar,0,Unfurnished,1,1,17,107.17
1232,3,3,0.8,Rajouri Garden,1,Unfurnished,0,1,1,142.32
1390,2,2,7.2,Dilshad Garden,0,Furnished,1,10,11,53.35
1652,3,2,0.1,Dwarka,1,Unfurnished,1,18,19,180.35
1142,2,2,12.5,Defence Colony,2,Semi-Furnished,1,12,13,230.74
968,3,3,1.5,Pitampura,1,Furnished,1,17,20,111.81
1847,1,1,6.3,Vikaspuri,1,Semi-Furnished,0,1,3,118.6
1335,2,2,2.7,Dwarka,0,Unfurnished,1,1,1,133.1
1804,3,3,4.1,Rajouri Garden,2,Furnished,1,2,6,195.48
868,2,2,2.7,Mayur Vihar,0,Unfurnished,0,10,10,32.45
1430,3,3,25.3,Karol Bagh,1,Unfurnished,1,1,1,77.83
762,2,2,15.7,Rajouri Garden,2,Furnished,1,6,15,77.12
1443,2,2,9.0,Karol Bagh,2,Unfurnished,1,14,19,155.69
687,2,2,2.7,Ghaziabad,2,Unfurnished,0,1,1,18.02
668,3,2,2.1,Mayur Vihar,1,Semi-Furnished,1,1,1,34.59
1894,5,5,3.7,Dilshad Garden,2,Unfurnished,0,9,14,89.06
1322,5,5,0.7,Khan Market,2,Semi-Furnished,0,1,1,331.18
894,3,3,3.1,Defence Colony,2,Unfurnished,1,1,1,225.04
1175,3,3,5.2,Ghaziabad,1,Semi-Furnished,1,10,16,52.09
1255,3,3,15.7,Karol Bagh,1,Unfurnished,0,1,2,120.79
1002,4,3,0.5,Ghaziabad,0,Unfurnished,0,3,6,39.73
828,4,4,1.5,Ghaziabad,1,Semi-Furnished,0,4,6,33.36
1593,4,4,5.7,Dilshad Garden,0,Semi-Furnished,0,2,10,55.92
413,4,4,8.9,Ghaziabad,0,Unfurnished,1,1,1,13.62
933,4,3,5.1,Ghaziabad,1,Semi-Furnished,1,11,13,42.77
400,5,5,16.4,Vikaspuri,2,Furnished,1,1,1,30.94
1255,3,3,2.8,Ghaziabad,1,Unfurnished,0,8,9,36.65
659,3,3,0.3,Karol Bagh,0,Unfurnished,1,2,2,78.0
857,4,4,4.9,Dwarka,1,Semi-Furnished,0,1,1,91.8
1402,2,2,6.1,Vasant Vihar,0,Semi-Furnished,0,1,1,215.8
1346,3,2,0.3,Janakpuri,0,Unfurnished,1,1,10,92.6
1522,3,3,0.6,Pitampura,2,Unfurnished,0,10,13,125.92
1503,3,3,19.9,Pitampura,0,Furnished,0,11,11,71.87
811,4,4,10.5,Preet Vihar,1,Unfurnished,1,9,16,43.15
1188,3,2,13.0,Vikaspuri,1,Semi-Furnished,1,1,1,81.84
999,3,3,3.3,Karol Bagh,1,Unfurnished,0,4,5,95.0
1458,1,1,16.6,Preet Vihar,0,Unfurnished,1,2,8,41.31
1674,2,1,0.8,Ghaziabad,1,Semi-Furnished,0,1,4,65.94
1364,1,1,25.6,Dwarka,0,Unfurnished,1,10,12,58.55
1114,3,3,4.2,Paschim Vihar,0,Furnished,0,3,4,78.63
1464,4,3,6.1,Dilshad Garden,1,Semi-Furnished,0,2,3,73.34
1413,4,4,6.0,Dwarka,2,Unfurnished,1,10,14,146.37
904,4,4,11.2,South Extension,1,Unfurnished,0,12,12,126.2
1515,3,3,3.0,Vasant Vihar,1,Unfurnished,1,3,8,268.88
1130,4,4,2.4,Janakpuri,2,Unfurnished,1,2,5,105.53
1242,3,3,3.1,Greater Kailash,1,Furnished,1,1,2,316.53
678,2,2,19.7,Shahdara,1,Unfurnished,1,9,10,20.2
1124,2,2,8.1,Lajpat Nagar,1,Unfurnished,1,1,1,115.72
974,2,2,4.9,Mayur Vihar,0,Furnished,1,1,1,49.54
1211,5,5,6.2,Rajouri Garden,1,Semi-Furnished,0,1,10,135.83
964,3,3,5.1,Defence Colony,1,Unfurnished,1,14,20,206.14
479,1,1,15.9,Connaught Place,2,Furnished,1,2,3,97.98
668,2,2,32.6,Janakpuri,1,Unfurnished,1,6,6,21.1
1021,3,3,3.1,Greater Kailash,0,Unfurnished,0,1,1,153.12
877,3,3,8.6,Janakpuri,0,Semi-Furnished,0,1,9,64.46
411,5,5,0.5,Connaught Place,0,Furnished,0,5,8,139.39
628,2,2,0.6,Shahdara,2,Unfurnished,1,1,1,35.93
1212,2,2,0.5,Mayur Vihar,1,Semi-Furnished,1,1,2,80.36
603,2,2,10.9,Pitampura,1,Unfurnished,1,14,19,48.8
1716,2,2,1.1,Defence Colony,1,Semi-Furnished,1,5,19,410.7
1290,2,2,9.8,Connaught Place,1,Unfurnished,0,5,14,220.84
2281,2,2,9.0,Pitampura,0,Semi-Furnished,0,3,3,144.83
674,3,3,5.6,Shahdara,2,Semi-Furnished,1,2,3,35.14
1945,1,1,6.2,Rohini,2,Unfurnished,0,9,13,123.85
1274,3,3,3.6,Greater Kailash,1,Semi-Furnished,0,1,1,237.96
1145,2,2,2.9,Ghaziabad,1,Unfurnished,0,1,1,31.1
844,3,3,4.3,Dilshad Garden,1,Semi-Furnished,1,1,1,42.46
1335,2,1,4.5,Pitampura,2,Semi-Furnished,1,1,1,129.54
1093,3,3,11.8,Rajouri Garden,0,Semi-Furnished,0,9,9,107.54
1984,3,2,2.7,Defence Colony,1,Unfurnished,0,6,8,373.59
1017,4,4,16.2,Pitampura,1,Semi-Furnished,0,6,16,68.73
1878,4,3,6.3,Janakpuri,1,Unfurnished,0,7,7,139.27
811,4,4,25.3,Lajpat Nagar,0,Unfurnished,0,2,10,57.71
1391,3,3,24.4,Paschim Vihar,1,Furnished,0,1,1,45.54
1458,3,3,7.5,Connaught Place,0,Unfurnished,1,18,20,333.62
973,2,2,0.5,Dilshad Garden,1,Semi-Furnished,1,3,19,51.01
817,4,4,2.5,Dilshad Garden,2,Unfurnished,1,5,8,46.0
960,3,3,1.7,Khan Market,1,Semi-Furnished,1,17,20,291.64
913,4,4,23.3,Greater Kailash,2,Semi-Furnished,0,11,13,127.53
2496,4,4,8.7,Lajpat Nagar,1,Semi-Furnished,1,6,19,425.86
1022,5,5,9.8,Mayur Vihar,0,Unfurnished,1,11,14,59.29
1605,2,1,1.0,Preet Vihar,1,Unfurnished,0,1,16,79.14
1399,4,3,37.0,Karol Bagh,0,Furnished,0,2,13,56.11
930,4,4,15.1,Mayur Vihar,2,Furnished,1,4,4,60.98
1114,2,2,3.1,Preet Vihar,2,Furnished,0,12,13,65.95
1392,3,3,17.6,Rajouri Garden,1,Unfurnished,1,1,1,103.38
1603,4,4,20.4,Shahdara,1,Unfurnished,0,1,7,46.7
546,2,2,5.8,Greater Kailash,1,Semi-Furnished,1,1,1,103.25
1267,4,4,1.7,Janakpuri,1,Unfurnished,1,5,14,127.15
779,3,2,10.4,Dwarka,2,Unfurnished,1,8,10,64.17
1906,3,3,26.7,Janakpuri,0,Furnished,0,8,10,99.2
1198,2,1,7.8,Karol Bagh,2,Unfurnished,1,3,3,161.97
1274,3,3,3.4,Ghaziabad,1,Unfurnished,0,8,10,43.23
1819,3,3,0.3,Vikaspuri,1,Unfurnished,1,1,1,146.58
1376,2,2,0.4,Dilshad Garden,0,Unfurnished,1,6,19,52.97
1135,4,4,6.0,Greater Kailash,2,Unfurnished,0,8,17,200.51
1272,2,2,2.9,Shahdara,1,Unfurnished,1,1,4,56.36
1138,4,4,5.9,Dwarka,1,Unfurnished,1,16,18,108.41
895,2,2,8.6,Preet Vihar,1,Furnished,1,7,12,50.32
1947,2,2,3.3,Dwarka,1,Furnished,1,2,9,211.26
635,3,3,2.8,Dilshad Garden,2,Semi-Furnished,1,5,6,34.71
1055,3,3,0.0,South Extension,2,Semi-Furnished,0,3,3,163.44
913,2,2,15.4,Pitampura,2,Unfurnished,1,2,11,52.75
607,3,3,22.6,Rohini,1,Unfurnished,0,2,6,27.01
1654,4,3,4.6,Greater Kailash,0,Unfurnished,1,1,1,344.75
2095,3,3,16.3,Defence Colony,1,Unfurnished,1,16,16,295.58
1395,1,1,1.0,Dwarka,1,Furnished,0,2,8,121.43
435,3,3,4.2,Mayur Vihar,0,Semi-Furnished,1,4,5,30.05
979,2,1,14.6,Rohini,1,Unfurnished,1,16,17,56.93
1832,1,1,4.9,Preet Vihar,1,Semi-Furnished,1,11,14,81.17
1189,3,3,2.6,Defence Colony,1,Semi-Furnished,1,9,13,318.17
606,3,3,12.2,Janakpuri,1,Unfurnished,0,3,4,28.34
1126,4,4,6.2,Connaught Place,1,Semi-Furnished,1,5,7,246.21
1113,3,3,1.6,Ghaziabad,1,Unfurnished,1,1,1,38.34
892,1,1,3.1,Paschim Vihar,0,Unfurnished,1,6,11,49.75
1983,2,1,18.8,Janakpuri,1,Semi-Furnished,1,3,3,117.67
1260,1,1,6.0,Khan Market,2,Furnished,0,4,15,245.8
890,3,3,0.3,Dilshad Garden,2,Furnished,1,1,1,50.41
1215,2,2,11.3,Dwarka,0,Furnished,1,11,15,121.18
1073,3,3,4.8,Karol Bagh,2,Semi-Furnished,0,2,3,117.2
1414,3,3,2.8,Shahdara,0,Semi-Furnished,1,1,1,77.4
1250,2,2,2.4,Khan Market,2,Semi-Furnished,1,2,2,342.92
554,4,4,10.3,Dwarka,1,Furnished,1,4,6,58.73
877,1,1,13.8,Rohini,1,Semi-Furnished,0,1,1,56.07
1154,2,2,3.4,Pitampura,0,Semi-Furnished,1,1,18,93.85
1320,1,1,1.2,Dilshad Garden,0,Furnished,1,1,16,52.52
759,3,3,15.7,Greater Kailash,0,Furnished,0,9,20,110.11
